"","ward","accessible","n"
"1","01","NO",59
"2","01","YES",22
"3","02","NO",111
"4","02","YES",19
"5","03","NO",211
"6","03","YES",29
"7","04","NO",174
"8","04","YES",24
"9","05","NO",196
"10","05","YES",37
"11","06","NO",206
"12","06","YES",30
"13","07","NO",65
"14","07","YES",37
"15","08","NO",216
"16","08","YES",26
"17","09","NO",75
"18","09","YES",14
"19","10","NO",23
"20","10","YES",24
"21","11","NO",114
"22","11","YES",18
"23","12","NO",293
"24","12","YES",38
"25","13","NO",153
"26","13","YES",55
"27","14","NO",105
"28","14","YES",26
"29","15","NO",136
"30","15","YES",32
"31","16","NO",125
"32","16","YES",30
"33","17","NO",46
"34","17","YES",16
"35","18","NO",32
"36","18","YES",14
"37","19","NO",142
"38","19","YES",31
"39","20","NO",125
"40","20","YES",34
"41","21","NO",108
"42","21","YES",27
"43","22","NO",26
"44","22","YES",16
"45","23","NO",6
"46","23","YES",2
"47","24","NO",48
"48","24","YES",30
"49","25","NO",24
"50","25","YES",4
